missing terms	meta
left-right homologs 9883 & 12239	left-right homologs 9883 & 12239 (81242
LINKED NEURON - copy of skeleton id 254426 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254426 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373694
LINKED NEURON - copy of skeleton id 254495 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254495 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (371963
LINKED NEURON - copy of skeleton id 393906 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 393906 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (393939
left-right homologs 9899 & 12275	left-right homologs 9899 & 12275 (81248
T1 leg motor neuron A2 bundle	T1 leg motor neuron A2 bundle (204048
LINKED NEURON - copy of skeleton id 254570 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254570 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372507
LINKED NEURON - copy of skeleton id 394051 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 394051 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (394080
left-right homologs 9929 & 11413	left-right homologs 9929 & 11413 (200239
LINKED NEURON - copy of skeleton id 254765 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254765 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372011
left-right homologs 9935 & 11715	left-right homologs 9935 & 11715 (204621
LINKED NEURON - copy of skeleton id 254781 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254781 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372101
left-right homologs 10208 & 10796	left-right homologs 10208 & 10796 (94620
LINKED NEURON - copy of skeleton id 255001 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 255001 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (371930
left T1 chordotonal nerve	left T1 chordotonal nerve (76941
neck chordotonal neuron	neck chordotonal neuron (227714
LINKED NEURON - copy of skeleton id 548078 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548078 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548091
LINKED NEURON - copy of skeleton id 548125 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548125 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548138
LINKED NEURON - copy of skeleton id 255212 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 255212 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373811
LINKED NEURON - copy of skeleton id 548220 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548220 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548234
LINKED NEURON - copy of skeleton id 548236 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548236 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548250
LINKED NEURON - copy of skeleton id 548267 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548267 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548280
LINKED NEURON - copy of skeleton id 548059 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548059 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548076
LINKED NEURON - copy of skeleton id 548093 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548093 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548106
LINKED NEURON - copy of skeleton id 548155 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548155 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548169
LINKED NEURON - copy of skeleton id 548205 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 548205 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (548218
left-right homologs 10299 & 11944	left-right homologs 10299 & 11944 (81251
LINKED NEURON - copy of skeleton id 254687 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254687 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373713
T1 leg motor neuron V3 bundle	T1 leg motor neuron V3 bundle (204107
LINKED NEURON - copy of skeleton id 255269 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 255269 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (371976
left-right homologs 10372 & 10802	left-right homologs 10372 & 10802 (200249
T1 leg motor neuron V6 bundle	T1 leg motor neuron V6 bundle (204097
LINKED NEURON - copy of skeleton id 254217 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254217 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (371832
LINKED NEURON - copy of skeleton id 254252 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254252 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372005
LINKED NEURON - copy of skeleton id 254315 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254315 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372527
left-right homologs 10393 & 12767	left-right homologs 10393 & 12767 (80728
LINKED NEURON - copy of skeleton id 254377 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254377 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373167
left-right homologs 10407 & 12822	left-right homologs 10407 & 12822 (81109
LINKED NEURON - copy of skeleton id 254524 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254524 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372085
left-right homologs 10414 & 48239	left-right homologs 10414 & 48239 (80307
LINKED NEURON - copy of skeleton id 254620 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254620 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373135
LINKED NEURON - copy of skeleton id 254672 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254672 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373678
left-right homologs 10424 & 16223	left-right homologs 10424 & 16223 (631129
LINKED NEURON - copy of skeleton id 379584 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379584 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379598
T1 leg chordotonal neuron unclassified subtype	T1 leg chordotonal neuron unclassified subtype (670013
LINKED NEURON - copy of skeleton id 254145 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254145 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (371112
LINKED NEURON - copy of skeleton id 388038 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388038 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388055
enveloping	enveloping (27824
LINKED NEURON - copy of skeleton id 388072 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388072 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388087
LINKED NEURON - copy of skeleton id 388089 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388089 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388105
LINKED NEURON - copy of skeleton id 388122 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388122 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388136
LINKED NEURON - copy of skeleton id 254164 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254164 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (371118
LINKED NEURON - copy of skeleton id 379034 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379034 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379049
LINKED NEURON - copy of skeleton id 388215 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388215 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388228
T1 leg claw chordotonal neuron B bundle	T1 leg claw chordotonal neuron B bundle (227731
LINKED NEURON - copy of skeleton id 379051 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379051 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379066
T1 leg hook chordotonal neuron	T1 leg hook chordotonal neuron (227862
LINKED NEURON - copy of skeleton id 379703 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379703 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379719
LINKED NEURON - copy of skeleton id 379755 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379755 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379769
LINKED NEURON - copy of skeleton id 378863 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 378863 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (378880
LINKED NEURON - copy of skeleton id 379870 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379870 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379885
LINKED NEURON - copy of skeleton id 378919 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 378919 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (378936
LINKED NEURON - copy of skeleton id 378955 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 378955 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (378971
LINKED NEURON - copy of skeleton id 379921 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379921 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379936
LINKED NEURON - copy of skeleton id 379954 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379954 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379968
LINKED NEURON - copy of skeleton id 380003 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 380003 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (380017
LINKED NEURON - copy of skeleton id 434262 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 434262 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (434279
LINKED NEURON - copy of skeleton id 394888 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 394888 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (394908
LINKED NEURON - copy of skeleton id 394951 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 394951 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (394968
LINKED NEURON - copy of skeleton id 395026 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 395026 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (395044
LINKED NEURON - copy of skeleton id 396128 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396128 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396148
LINKED NEURON - copy of skeleton id 396168 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396168 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396185
right posterior dorsal mesothoracic nerve	right posterior dorsal mesothoracic nerve (78205
contains presynapses	contains presynapses (85483
wing motor neuron	wing motor neuron (189058
wing motor neuron PDMN1 bundle	wing motor neuron PDMN1 bundle (193509
LINKED NEURON - copy of skeleton id 84792 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 84792 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (440570
LINKED NEURON - copy of skeleton id 441165 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441165 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441182
LINKED NEURON - copy of skeleton id 397073 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 397073 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (397092
LINKED NEURON - copy of skeleton id 395714 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 395714 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (395737
LINKED NEURON - copy of skeleton id 396923 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396923 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396946
LINKED NEURON - copy of skeleton id 441289 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441289 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441305
left-right homologs 11802 & 11011	left-right homologs 11802 & 11011 (193530
LINKED NEURON - copy of skeleton id 396069 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396069 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396087
LINKED NEURON - copy of skeleton id 395088 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 395088 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (395109
